Area,Code,Price,Month,RegionName,RegionCode
Hartlepool,E06000001,62078.20672,2016-09-01,North East,E12000001
Hartlepool,E06000001,61893.84174,2016-10-01,North East,E12000001
Hartlepool,E06000001,61909.33647,2016-11-01,North East,E12000001
Hartlepool,E06000001,62919.44401,2016-12-01,North East,E12000001
Hartlepool,E06000001,60770.80795,2017-01-01,North East,E12000001
Hartlepool,E06000001,59591.26472,2017-02-01,North East,E12000001
Hartlepool,E06000001,59212.9076,2017-03-01,North East,E12000001
Hartlepool,E06000001,60425.80637,2017-04-01,North East,E12000001
Hartlepool,E06000001,63455.60485,2017-05-01,North East,E12000001
Hartlepool,E06000001,63612.01761,2017-06-01,North East,E12000001
Hartlepool,E06000001,65007.8417,2017-07-01,North East,E12000001
Hartlepool,E06000001,62699.5758,2017-08-01,North East,E12000001
Hartlepool,E06000001,62081.11571,2017-09-01,North East,E12000001
Hartlepool,E06000001,61066.78104,2017-10-01,North East,E12000001
Hartlepool,E06000001,61750.52052,2017-11-01,North East,E12000001
Hartlepool,E06000001,63708.02897,2017-12-01,North East,E12000001
Hartlepool,E06000001,63241.91383,2018-01-01,North East,E12000001
Hartlepool,E06000001,61066.82603,2018-02-01,North East,E12000001
Hartlepool,E06000001,58604.52682,2018-03-01,North East,E12000001
Hartlepool,E06000001,59396.86395,2018-04-01,North East,E12000001
Hartlepool,E06000001,61010.76143,2018-05-01,North East,E12000001
Hartlepool,E06000001,61183.63764,2018-06-01,North East,E12000001
Hartlepool,E06000001,61116.82158,2018-07-01,North East,E12000001
Hartlepool,E06000001,62421.33311,2018-08-01,North East,E12000001
Hartlepool,E06000001,62722.44809,2018-09-01,North East,E12000001
Hartlepool,E06000001,63701.45444,2018-10-01,North East,E12000001
Hartlepool,E06000001,63690.18314,2018-11-01,North East,E12000001
Hartlepool,E06000001,66160.60289,2018-12-01,North East,E12000001
Hartlepool,E06000001,64281.01316,2019-01-01,North East,E12000001
Hartlepool,E06000001,62010.18185,2019-02-01,North East,E12000001
Hartlepool,E06000001,58935.49172,2019-03-01,North East,E12000001
Hartlepool,E06000001,59582.29156,2019-04-01,North East,E12000001
Hartlepool,E06000001,60518.15365,2019-05-01,North East,E12000001
Hartlepool,E06000001,62321.32249,2019-06-01,North East,E12000001
Hartlepool,E06000001,62342.95433,2019-07-01,North East,E12000001
Hartlepool,E06000001,62159.99536,2019-08-01,North East,E12000001
Middlesbrough,E06000002,66397.50123,2016-09-01,North East,E12000001
Middlesbrough,E06000002,65994.44543,2016-10-01,North East,E12000001
Middlesbrough,E06000002,66356.0785,2016-11-01,North East,E12000001
Middlesbrough,E06000002,69270.4662,2016-12-01,North East,E12000001
Middlesbrough,E06000002,67656.00967,2017-01-01,North East,E12000001
Middlesbrough,E06000002,69343.31819,2017-02-01,North East,E12000001
Middlesbrough,E06000002,68137.75465,2017-03-01,North East,E12000001
Middlesbrough,E06000002,69794.37844,2017-04-01,North East,E12000001
Middlesbrough,E06000002,68954.06529,2017-05-01,North East,E12000001
Middlesbrough,E06000002,68879.98761,2017-06-01,North East,E12000001
Middlesbrough,E06000002,69163.06963,2017-07-01,North East,E12000001
Middlesbrough,E06000002,68922.24334,2017-08-01,North East,E12000001
Middlesbrough,E06000002,69883.41893,2017-09-01,North East,E12000001
Middlesbrough,E06000002,70341.80652,2017-10-01,North East,E12000001
Middlesbrough,E06000002,70832.80274,2017-11-01,North East,E12000001
Middlesbrough,E06000002,71523.08774,2017-12-01,North East,E12000001
Middlesbrough,E06000002,70086.16229,2018-01-01,North East,E12000001
Middlesbrough,E06000002,69244.70163,2018-02-01,North East,E12000001
Middlesbrough,E06000002,66644.286,2018-03-01,North East,E12000001
Middlesbrough,E06000002,65932.60055,2018-04-01,North East,E12000001
Middlesbrough,E06000002,65714.24686,2018-05-01,North East,E12000001
Middlesbrough,E06000002,68311.19697,2018-06-01,North East,E12000001
Middlesbrough,E06000002,69313.90788,2018-07-01,North East,E12000001
Middlesbrough,E06000002,68689.85507,2018-08-01,North East,E12000001
Middlesbrough,E06000002,66570.2134,2018-09-01,North East,E12000001
Middlesbrough,E06000002,66586.02698,2018-10-01,North East,E12000001
Middlesbrough,E06000002,66726.38851,2018-11-01,North East,E12000001
Middlesbrough,E06000002,68358.16291,2018-12-01,North East,E12000001
Middlesbrough,E06000002,67169.07112,2019-01-01,North East,E12000001
Middlesbrough,E06000002,67051.87024,2019-02-01,North East,E12000001
Middlesbrough,E06000002,65152.42451,2019-03-01,North East,E12000001
Middlesbrough,E06000002,65959.27395,2019-04-01,North East,E12000001
Middlesbrough,E06000002,67210.2699,2019-05-01,North East,E12000001
Middlesbrough,E06000002,67023.8206,2019-06-01,North East,E12000001
Middlesbrough,E06000002,67675.65022,2019-07-01,North East,E12000001
Middlesbrough,E06000002,70204.69483,2019-08-01,North East,E12000001
Redcar and Cleveland,E06000003,63952.31663,2016-09-01,North East,E12000001
Redcar and Cleveland,E06000003,63412.20939,2016-10-01,North East,E12000001
Redcar and Cleveland,E06000003,64777.33467,2016-11-01,North East,E12000001
Redcar and Cleveland,E06000003,64041.27839,2016-12-01,North East,E12000001
Redcar and Cleveland,E06000003,62310.34872,2017-01-01,North East,E12000001
Redcar and Cleveland,E06000003,63283.3777,2017-02-01,North East,E12000001
Redcar and Cleveland,E06000003,62843.26844,2017-03-01,North East,E12000001
Redcar and Cleveland,E06000003,64944.68284,2017-04-01,North East,E12000001
Redcar and Cleveland,E06000003,64650.78725,2017-05-01,North East,E12000001
Redcar and Cleveland,E06000003,66103.01756,2017-06-01,North East,E12000001
Redcar and Cleveland,E06000003,65507.8099,2017-07-01,North East,E12000001
Redcar and Cleveland,E06000003,66824.61444,2017-08-01,North East,E12000001
Redcar and Cleveland,E06000003,65686.29354,2017-09-01,North East,E12000001
Redcar and Cleveland,E06000003,65858.27111,2017-10-01,North East,E12000001
Redcar and Cleveland,E06000003,63759.50376,2017-11-01,North East,E12000001
Redcar and Cleveland,E06000003,66524.66544,2017-12-01,North East,E12000001
Redcar and Cleveland,E06000003,65915.76814,2018-01-01,North East,E12000001
Redcar and Cleveland,E06000003,65546.49962,2018-02-01,North East,E12000001
Redcar and Cleveland,E06000003,62423.48094,2018-03-01,North East,E12000001
Redcar and Cleveland,E06000003,62029.36351,2018-04-01,North East,E12000001
Redcar and Cleveland,E06000003,62715.98799,2018-05-01,North East,E12000001
Redcar and Cleveland,E06000003,63644.17915,2018-06-01,North East,E12000001
Redcar and Cleveland,E06000003,64802.79724,2018-07-01,North East,E12000001
Redcar and Cleveland,E06000003,64898.35489,2018-08-01,North East,E12000001
Redcar and Cleveland,E06000003,65232.4825,2018-09-01,North East,E12000001
Redcar and Cleveland,E06000003,64247.70625,2018-10-01,North East,E12000001
Redcar and Cleveland,E06000003,62323.05258,2018-11-01,North East,E12000001
